X	Y	AMF
0	0	5.9
50	0	4.6
100	0	4
150	0	4
200	0	3.5
250	0	4.4
300	0	4.6
350	0	4.8
400	0	3.4
450	0	3.1
500	0	4.5
550	0	6.6
600	0	7.2
650	0	6.2
700	0	6.3
750	0	5.4
800	0	5
850	0	4.8
0	50	6.5
50	50	5.9
100	50	4
150	50	3.8
200	50	3.5
250	50	3.7
300	50	3.3
350	50	3.9
400	50	3.1
450	50	3
500	50	3.1
550	50	4.3
600	50	6
650	50	6.8
700	50	6.3
750	50	6.7
800	50	5
850	50	5.6
0	100	6.6
100	100	6.4
150	100	5
200	100	4.8
250	100	2.5
300	100	3.8
350	100	3.4
400	100	3.1
450	100	3.7
500	100	3.5
550	100	3.7
600	100	3.4
650	100	5.2
700	100	5.8
750	100	6.9
800	100	6.5
850	100	6.6
0	150	10.1
50	150	8.4
100	150	6.6
150	150	6
200	150	6.5
250	150	4.1
300	150	3.3
350	150	3
400	150	3.5
450	150	4.6
500	150	4.9
550	150	5.8
600	150	6.4
650	150	6
700	150	6.6
750	150	6.2
800	150	6.3
850	150	6
0	200	13
50	200	5.8
150	200	5.2
200	200	3.5
250	200	2.9
300	200	3.7
400	200	6.9
450	200	6
500	200	6.8
550	200	6.4
600	200	6.3
650	200	5.9
700	200	6.5
750	200	6
800	200	5.8
850	200	5.5
0	250	6.1
100	250	4
150	250	3.3
200	250	2.8
250	250	4.5
300	250	5.6
350	250	6.6
400	250	6.9
450	250	6.9
500	250	6.3
550	250	6
600	250	5.9
650	250	6
700	250	5.5
750	250	5.6
800	250	6
850	250	5.7
0	300	6.6
50	300	5
100	300	5.6
150	300	5
200	300	5.7
250	300	5.3
300	300	5.4
350	300	5.3
400	300	6.4
450	300	6
500	300	7.4
550	300	5
600	300	7.3
650	300	5.3
700	300	6.6
750	300	5.6
800	300	6.6
850	300	4.8
