alpha phi1 phi2 phi3 theta1 theta2 theta3
-1.33024483825052 0.0301717781018268 0.307050995878697 0.254487701791069 -0.0796081251753726 -0.0285450946025516 -0.0339452801784386
-1.30951551902441 0.0182925191570322 0.330846905866865 0.248269551004433 -0.0897296104447431 -0.0360838363770841 -0.0168639604426394
-1.33242063553647 0.0401692775806749 0.326692586416479 0.222695886532735 -0.0974142233248171 -0.0318088069042946 0.0136018089573046
-1.21958403394259 0.0144260722070995 0.385462713144292 0.22515029216885 -0.0886892288582065 -0.0900290845310015 0.00662057340363816
-1.20066653357209 0.00987356438032415 0.353163422330158 0.265915132998119 -0.0892968634151072 -0.0638397852281488 -0.02256345887395
-1.1877411202818 -0.00508743168751898 0.380393245377783 0.258211438966901 -0.064038437640285 -0.0746021261852663 -0.00679282661136991
-1.09693739043077 0.0105880573100562 0.365121250184615 0.285124679372716 -0.091549814746252 -0.0624847230031707 -0.0451964111458605
-1.20550890169671 -0.0158184065865299 0.364892906946413 0.278815861921816 -0.0599982277491206 -0.0704271425244288 -0.0335586406480628
-1.19639254634057 0.00604563119247626 0.351445490782619 0.274426161599423 -0.0890706734276472 -0.0746024592350174 -0.0358500013501093
-1.1732649187307 -0.00336360557924514 0.355606934376352 0.285007088728845 -0.0695171248266268 -0.0641628261482623 -0.0404425457950985
-1.16270118558615 0.0404582161285941 0.343540141243686 0.25699059573233 -0.109199767830234 -0.0593202145452338 -0.0147355637394106
-1.30207932475787 0.0411558045153883 0.349101000947148 0.208108224011386 -0.118685949958558 -0.070951120883964 0.0480171232946577
-1.233831755163 0.00302607821017391 0.350873978187496 0.266902055137903 -0.0631102462349283 -0.0634818742050801 -0.0340451441700495
-1.20417047272634 -0.000159107208502685 0.406997445538275 0.220249145024552 -0.0644517680465318 -0.13067181515814 0.033372692457365
-1.29011836747851 0.0549588856526532 0.317403821641526 0.230739069164506 -0.116870266449907 -0.0354251244551301 -0.00255048763613466
-1.17785972414612 0.0477253118412064 0.314667773034018 0.274314240691377 -0.123335827502239 -0.0441697827067454 -0.0382376975360184
-1.18419980964109 0.0266285580819953 0.317842017913218 0.291036058437137 -0.105256004209114 -0.0337143409816691 -0.0413164945070132
-1.18483638480802 -0.00884314643270701 0.355697349777424 0.288504592144441 -0.0770405559009807 -0.0604578437612545 -0.0399334641110299
-1.2703676150462 0.0567152322812582 0.338904184643899 0.211673546261421 -0.113033694215613 -0.0434820093085414 0.0309231495339454
-1.26289967076388 0.000217894792903009 0.365983588349339 0.245126962590526 -0.0698996674370299 -0.0776644680170781 0.00301155064284878
NA NA NA NA NA NA NA
-1.25511683535441 0.0224937030422296 0.328574442906218 0.263336360608951 -0.0913895590705545 -0.0321943829221471 -0.0287459509344364
NA NA NA NA NA NA NA
-1.31586112430585 0.0596195473398498 0.335023789187503 0.200197610335607 -0.109674036713967 -0.034990722512025 0.0333749173773163
-1.2827957188289 -0.00457889018148775 0.384368044928614 0.225693142726011 -0.065774360105508 -0.107316631959176 0.0175733135809082
-1.1165038031091 -0.00113581269355036 0.380707724357954 0.275950771783542 -0.0961807867562274 -0.0908040891045963 -0.0306950536316599
-1.24076450689023 0.0147208159012584 0.325030728369564 0.278434340625991 -0.0799121160438207 -0.033467380837031 -0.0284263820244855
-1.24629376782163 0.00609531219502668 0.325731785650512 0.285293187962901 -0.0681588243691209 -0.0416380083221299 -0.0553695807846009
-1.14595836217615 0.0199462387935284 0.360827210380519 0.264897124048609 -0.0950671200097127 -0.0751893601350766 -0.014268031663033
-1.25026232471089 0.0396466116973754 0.366716726019696 0.210619261779502 -0.110625633130817 -0.083916105208995 0.028994887482345
-1.19474733588708 0.0546253405326023 0.352608601788876 0.225004190536811 -0.126704570156697 -0.0569060812067169 0.0346270752671075
-1.33938155552256 0.0374397475292958 0.326759975954328 0.222421202567326 -0.0953184452621856 -0.0355621317289256 0.0268629679082614
-1.2636155520304 0.0210834145932466 0.340679192960435 0.247894448038574 -0.0991904460098445 -0.054355090609104 -0.0122722567872699
-1.13972113004133 0.0194166718749782 0.339133886013365 0.289398567860046 -0.0816765512512496 -0.0640243990327762 -0.0520371732147831
-1.24973819967719 0.0768393459074874 0.330760815097933 0.206570048521844 -0.13909554464174 -0.0387044752130112 0.0463818400169193
-1.22036413270313 0.0542015079294628 0.313122151627602 0.256437460931195 -0.11022655874228 -0.0215098330682409 -0.0172676987719199
-1.20392589302245 -0.0093648830948273 0.378959835714856 0.259286746532803 -0.0572400508841602 -0.0800300513037377 -0.0331085987985794
NA NA NA NA NA NA NA
-1.16326383390302 0.0348542697397158 0.341207440918364 0.265037305303845 -0.0965749751071207 -0.0457589878978968 -0.0294009849506395
-1.24196913045184 0.0089845277103425 0.361149876638461 0.247161739810319 -0.0769195398146223 -0.0833055599862512 -0.0128620620792142
-1.27674559589419 0.038362713644254 0.336975636343976 0.234942181349097 -0.102962996488493 -0.0528692276764824 -0.00065201561811587
